"capsid","strain","density","tree_sp","numeric_dose","total_n","total_virus","dose_response","SOK","day","value","numeric_day"
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_6",0,6
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_7",0,7
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_8",0,8
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_9",0,9
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_10",0,10
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_11",0,11
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_12",0,12
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_13",0,13
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_14",0,14
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_15",1,15
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_16",1,16
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_17",1,17
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_18",0,18
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_19",0,19
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_20",0,20
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_21",0,21
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_22",0,22
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_23",0,23
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_24",0,24
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_25",0,25
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_26",0,26
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_27",0,27
"SNPV","COL","HI","GR",3,29,3,0.103448276,16,"day_28",0,28
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_6",1,6
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_7",0,7
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_8",0,8
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_9",0,9
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_10",0,10
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_11",1,11
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_12",0,12
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_13",1,13
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_14",1,14
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_15",1,15
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_16",1,16
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_17",1,17
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_18",1,18
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_19",0,19
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_20",0,20
"SNPV","COL","HI","DO",3,26,8,0.307692308,13.75,"day_21",0,21
